
OPTIMIZING FINAL MODEL ON WHOLE DATASET

COMPUTING LOCAL ACTIVE FEATURES
Computing active features for target column 0_expression_subtype
Features before filter: 20202
Features after any na, zero variance, and anova filters: 18246
Features active in view: 18246

CREATING INNER FOLDS

RUNNING GENETIC ALGORITHM
Generations completed = 243
Generations completed = 423
Generations completed = 579
Generations completed = 704
Generations completed = 827
Generations completed = 950
   	     	         	        	         expression_subtype svm balanced accuracy        	                     leanness                    
   	     	         	        	---------------------------------------------------------	-------------------------------------------------
gen	evals	gen_feats	explored	min     	avg     	max     	std          	min      	avg      	max	std      
NSGA-II multi-view multi-objective optimizer (3-folds creator, pop 500, uniform(0, 50), gen 1000, sort CrowdCI, crossover 0.33, mutation 1.0 flip) with (multi-view lasso FI, multi-view none) final optimization execution time = 00-03:12:45

FEATURE SETS SELECTED ON WHOLE DATASET

PARETO FRONT
Number of solutions = 52
Features in hall of fame by prevalence:
201 features: [0_CBR1, 0_CTNNBIP1, 0_FAM72D, 0_FTHL3, 0_FAM83A, 0_HLA-DRA, 0_PPP2R2B, 0_RHOBTB1, 0_TMPRSS11F, 0_GCNT3, 0_CEACAM3, 0_SLC29A3, 0_COL24A1, 0_TCEAL2, 0_CISH, 0_TPD52L1, 0_C6orf147, 0_TOP1P2, 0_C5orf25, 0_MLL, 0_DHX40, 0_ITM2C, 0_ZNF169, 0_C11orf16, 0_C15orf5, 0_GOLIM4, 0_MEAF6, 0_NTRK2, 0_C5orf55, 0_ADAM8, 0_BAT5, 0_C10orf32, 0_CD151, 0_CLCA4, 0_CPA3, 0_CYP8B1, 0_DEDD2, 0_EEA1, 0_FABP5, 0_GDAP2, 0_GEMIN4, 0_HIST1H2BF, 0_HLA-DPB1, 0_IL10RB, 0_IL1R2, 0_KIAA0226, 0_LOC100132111, 0_PLCXD1, 0_SAMM50, 0_SENP3, 0_TMEM175, 0_VMA21, 0_ACAD9, 0_AKNAD1, 0_ARSG, 0_ASB2, 0_C10orf55, 0_C19orf42, 0_C21orf122, 0_C21orf81, 0_C6orf132, 0_C6orf150, 0_CALM2, 0_CPA4, 0_CUBN, 0_DBX2, 0_EDN1, 0_EDN3, 0_ELANE, 0_FABP5L3, 0_FAM45A, 0_FAM71E1, 0_FAM75A2, 0_FBXW12, 0_FFAR1, 0_FLJ33630, 0_GALNT7, 0_GALR1, 0_GSTM2, 0_HEY1, 0_HLA-DQA2, 0_LHFP, 0_LOC158376, 0_LOC285359, 0_LPIN2, 0_LTBR, 0_MXI1, 0_NDP, 0_NEIL3, 0_NFIC, 0_NUP88, 0_OR1F2P, 0_PCDHA8, 0_PDLIM5, 0_PLA2G4F, 0_PLUNC, 0_PODXL, 0_PSIP1, 0_QDPR, 0_RAC3, 0_RBMY1J, 0_RER1, 0_RNASE12, 0_SEPT7L, 0_SGK223, 0_SGSM1, 0_SLC22A2, 0_SPIB, 0_TAT, 0_TIGIT, 0_TLL2, 0_TM7SF4, 0_TNXB, 0_ZHX2, 0_AHNAK2, 0_CADPS2, 0_COX7A2L, 0_DGKH, 0_LOC284688, 0_OR9K2, 0_RIMS2, 0_CD63, 0_ELK3, 0_GGCX, 0_GPN3, 0_TM7SF3, 0_TMEM133, 0_AVPR2, 0_BCL2L15, 0_FITM2, 0_HSPA12A, 0_IFITM4P, 0_KRT16, 0_NAPSB, 0_NR5A2, 0_NRXN3, 0_PGLYRP3, 0_PLS1, 0_PNPLA7, 0_SERPINB13, 0_SLC39A9, 0_SLCO1A2, 0_SYT11, 0_ZNF615, 0_ACSL5, 0_ANKRD42, 0_C16orf82, 0_CASC1, 0_CGNL1, 0_CHAF1A, 0_CLCA2, 0_CRTAP, 0_DAP, 0_DNAJC17, 0_DYNLL1, 0_EHMT1, 0_ELAC2, 0_FAM151B, 0_FAM82B, 0_FANCI, 0_FRMD6, 0_GSTM4, 0_HAUS6, 0_HIST2H2AB, 0_KIAA0430, 0_KRTAP10-8, 0_LASS4, 0_LDLRAD1, 0_LENG1, 0_LOC100190986, 0_LPCAT1, 0_MAFA, 0_MEA1, 0_MED31, 0_MLLT11, 0_MTPAP, 0_NTNG2, 0_PHF6, 0_PRR15L, 0_PRRT1, 0_PRX, 0_RABEP1, 0_RGS16, 0_RILPL1, 0_RQCD1, 0_RRAD, 0_SGK196, 0_SKIL, 0_SLC25A32, 0_SOX13, 0_SPDEF, 0_SPRY1, 0_SRR, 0_TBC1D22A, 0_TREX1, 0_TRPC5, 0_TSPAN32, 0_ZFP64, 0_ZGPAT, 0_ZNF250, 0_ZNF302]

BEST SUMS WITH SIZE 50
Number of solutions = 50
Features in hall of fame by prevalence:
181 features: [0_CBR1, 0_COL24A1, 0_CTNNBIP1, 0_FAM83A, 0_FTHL3, 0_PPP2R2B, 0_RHOBTB1, 0_TCEAL2, 0_TMPRSS11F, 0_C11orf16, 0_C15orf5, 0_C6orf147, 0_CEACAM3, 0_CISH, 0_FAM72D, 0_GCNT3, 0_HLA-DRA, 0_MLL, 0_SLC29A3, 0_TOP1P2, 0_ZNF169, 0_C5orf25, 0_ADAM8, 0_BAT5, 0_C10orf32, 0_CD151, 0_CPA3, 0_CYP8B1, 0_DEDD2, 0_EEA1, 0_FABP5, 0_GDAP2, 0_GEMIN4, 0_HIST1H2BF, 0_HLA-DPB1, 0_IL1R2, 0_KIAA0226, 0_LOC100132111, 0_NTRK2, 0_PLCXD1, 0_SAMM50, 0_SENP3, 0_TMEM175, 0_VMA21, 0_CALM2, 0_LOC284688, 0_ACAD9, 0_AKNAD1, 0_ARSG, 0_ASB2, 0_C10orf55, 0_C19orf42, 0_C21orf122, 0_C21orf81, 0_C6orf150, 0_CPA4, 0_CUBN, 0_DBX2, 0_DGKH, 0_EDN1, 0_EDN3, 0_ELANE, 0_ELK3, 0_FABP5L3, 0_FAM45A, 0_FAM71E1, 0_FAM75A2, 0_FBXW12, 0_FFAR1, 0_FLJ33630, 0_GALNT7, 0_GALR1, 0_GSTM2, 0_HEY1, 0_HLA-DQA2, 0_LHFP, 0_LOC158376, 0_LOC285359, 0_LPIN2, 0_LTBR, 0_MAFA, 0_MXI1, 0_NDP, 0_NEIL3, 0_NFIC, 0_NUP88, 0_OR1F2P, 0_OR9K2, 0_PCDHA8, 0_PDLIM5, 0_PLA2G4F, 0_PLUNC, 0_PODXL, 0_PSIP1, 0_QDPR, 0_RAC3, 0_RBMY1J, 0_RER1, 0_SEPT7L, 0_SGK223, 0_SGSM1, 0_SLC22A2, 0_SPIB, 0_TAT, 0_TIGIT, 0_TLL2, 0_TM7SF4, 0_ZHX2, 0_C5orf55, 0_DHX40, 0_GOLIM4, 0_ITM2C, 0_MEAF6, 0_TPD52L1, 0_C6orf132, 0_COX7A2L, 0_GRIK3, 0_IL10RB, 0_RIMS2, 0_RNASE12, 0_C16orf82, 0_NTNG2, 0_CASC1, 0_GGCX, 0_HSPA12A, 0_NRXN3, 0_PRRT1, 0_PRX, 0_TMEM133, 0_GABRG2, 0_KRT31, 0_PAFAH1B3, 0_RILPL1, 0_ZFP64, 0_ZNF615, 0_ACCN3, 0_ADAMTS8, 0_ANKRD42, 0_ARF4, 0_CCDC142, 0_CHST4, 0_CLCA2, 0_DNAJC17, 0_DTX3, 0_ELAC2, 0_FAM151B, 0_FAM82B, 0_GOLGA9P, 0_GSTM4, 0_GXYLT2, 0_HACE1, 0_HAUS6, 0_HDAC7, 0_IP6K2, 0_KHDRBS3, 0_KIAA1755, 0_LENG1, 0_LOC100190986, 0_LOC606724, 0_LPCAT1, 0_MCOLN3, 0_MOGS, 0_NR5A2, 0_PMPCA, 0_PNMAL1, 0_POLH, 0_PTS, 0_RBM20, 0_RRAD, 0_SBF1P1, 0_SCO2, 0_SPOCK2, 0_SRR, 0_TBC1D22A, 0_TMEM55B, 0_TREX1, 0_TRPC5, 0_TSPAN32, 0_VPS41, 0_WDR46, 0_ZNF250]

SAVING FEATURES AND FITNESSES FOR EACH SELECTED INDIVIDUAL TO FILES.
